# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 2.107585196e-04 2.570836212e-01 1.904910720e-04 2.026744759e-05 0.000000000e+00 0.000000000e+00
9.541091806e-02 1.490249564e-03 1.640251621e+00 1.365695788e-03 1.245537752e-04 0.000000000e+00 0.000000000e+00
1.011471476e-01 2.220583342e-03 2.087762408e+00 1.988845667e-03 2.317376746e-04 0.000000000e+00 0.000000000e+00
1.072282468e-01 3.484086644e-03 2.632525875e+00 3.108205461e-03 3.758811827e-04 0.000000000e+00 0.000000000e+00
1.136749497e-01 3.713042594e-03 2.594921160e+00 3.276096398e-03 4.369461961e-04 0.000000000e+00 0.000000000e+00
1.205092367e-01 3.423217606e-03 2.169845363e+00 2.953248335e-03 4.699692701e-04 0.000000000e+00 0.000000000e+00
1.277544101e-01 4.108176255e-03 2.688010429e+00 3.574943733e-03 5.332325223e-04 0.000000000e+00 0.000000000e+00
1.354351729e-01 4.851581242e-03 2.702910019e+00 4.250056543e-03 6.015246994e-04 0.000000000e+00 0.000000000e+00
1.435777131e-01 5.255905628e-03 2.497500483e+00 4.542679218e-03 7.132264095e-04 0.000000000e+00 0.000000000e+00
1.522097936e-01 4.823358386e-03 2.327761154e+00 4.110062300e-03 7.132960862e-04 0.000000000e+00 0.000000000e+00
1.613608460e-01 4.786654519e-03 2.365569581e+00 4.184401078e-03 6.022534415e-04 0.000000000e+00 0.000000000e+00
1.710620718e-01 4.682360806e-03 2.391889548e+00 4.108721897e-03 5.736389091e-04 0.000000000e+00 0.000000000e+00
1.813465479e-01 3.961783916e-03 2.330446769e+00 3.518018135e-03 4.437657810e-04 0.000000000e+00 0.000000000e+00
1.922493402e-01 3.877054687e-03 2.223967115e+00 3.451002293e-03 4.260523945e-04 0.000000000e+00 0.000000000e+00
2.038076228e-01 3.620296076e-03 2.210519442e+00 3.271722227e-03 3.485738497e-04 0.000000000e+00 0.000000000e+00
2.160608044e-01 3.134696210e-03 2.204124961e+00 2.871318166e-03 2.633780437e-04 0.000000000e+00 0.000000000e+00
2.290506634e-01 3.357988716e-03 2.084310324e+00 3.040370429e-03 3.176182867e-04 0.000000000e+00 0.000000000e+00
2.428214897e-01 3.620791215e-03 1.974824548e+00 3.146134618e-03 4.746565973e-04 0.000000000e+00 0.000000000e+00
2.574202362e-01 3.781591520e-03 1.921723097e+00 3.312057080e-03 4.695344406e-04 0.000000000e+00 0.000000000e+00
2.728966785e-01 3.912341565e-03 1.857240669e+00 3.445744410e-03 4.665971554e-04 0.000000000e+00 0.000000000e+00
2.893035848e-01 4.183945803e-03 1.818448051e+00 3.646715971e-03 5.372298317e-04 0.000000000e+00 0.000000000e+00
3.066968958e-01 4.170286876e-03 1.756678320e+00 3.621464343e-03 5.488225335e-04 0.000000000e+00 0.000000000e+00
3.251359155e-01 4.210298991e-03 1.680055685e+00 3.590122005e-03 6.201769862e-04 0.000000000e+00 0.000000000e+00
