# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 4.843096633e-03 2.570836212e-01 4.748981148e-03 9.411548546e-05 0.000000000e+00 0.000000000e+00
9.541091806e-02 2.529285086e-02 1.640251621e+00 2.468203568e-02 6.108151848e-04 0.000000000e+00 0.000000000e+00
1.011471476e-01 3.103725749e-02 2.087762408e+00 3.013902042e-02 8.982370716e-04 0.000000000e+00 0.000000000e+00
1.072282468e-01 3.699116165e-02 2.632525875e+00 3.569882265e-02 1.292339003e-03 0.000000000e+00 0.000000000e+00
1.136749497e-01 3.799526381e-02 2.594921160e+00 3.645046872e-02 1.544795085e-03 0.000000000e+00 0.000000000e+00
1.205092367e-01 3.339504078e-02 2.169845363e+00 3.202584370e-02 1.369197084e-03 0.000000000e+00 0.000000000e+00
1.277544101e-01 3.683887975e-02 2.688010429e+00 3.518680721e-02 1.652072534e-03 0.000000000e+00 0.000000000e+00
1.354351729e-01 3.527584231e-02 2.702910019e+00 3.371342086e-02 1.562421455e-03 0.000000000e+00 0.000000000e+00
1.435777131e-01 3.452879464e-02 2.497500483e+00 3.296239385e-02 1.566400796e-03 0.000000000e+00 0.000000000e+00
1.522097936e-01 3.546312258e-02 2.327761154e+00 3.368766968e-02 1.775452896e-03 0.000000000e+00 0.000000000e+00
1.613608460e-01 3.420827404e-02 2.365569581e+00 3.248051576e-02 1.727758277e-03 0.000000000e+00 0.000000000e+00
1.710620718e-01 3.101640767e-02 2.391889548e+00 2.956819086e-02 1.448216806e-03 0.000000000e+00 0.000000000e+00
1.813465479e-01 2.915435111e-02 2.330446769e+00 2.787645212e-02 1.277898990e-03 0.000000000e+00 0.000000000e+00
1.922493402e-01 2.712286744e-02 2.223967115e+00 2.593340042e-02 1.189467015e-03 0.000000000e+00 0.000000000e+00
2.038076228e-01 2.612398519e-02 2.210519442e+00 2.519982306e-02 9.241621387e-04 0.000000000e+00 0.000000000e+00
2.160608044e-01 2.607589151e-02 2.204124961e+00 2.519117757e-02 8.847139464e-04 0.000000000e+00 0.000000000e+00
2.290506634e-01 2.558777468e-02 2.084310324e+00 2.443030517e-02 1.157469508e-03 0.000000000e+00 0.000000000e+00
2.428214897e-01 2.436279405e-02 1.974824548e+00 2.299381526e-02 1.368978787e-03 0.000000000e+00 0.000000000e+00
2.574202362e-01 2.310357521e-02 1.921723097e+00 2.164837748e-02 1.455197724e-03 0.000000000e+00 0.000000000e+00
2.728966785e-01 2.316190706e-02 1.857240669e+00 2.173198519e-02 1.429921871e-03 0.000000000e+00 0.000000000e+00
2.893035848e-01 2.323446502e-02 1.818448051e+00 2.190801654e-02 1.326448476e-03 0.000000000e+00 0.000000000e+00
3.066968958e-01 2.245415796e-02 1.756678320e+00 2.089949358e-02 1.554664379e-03 0.000000000e+00 0.000000000e+00
3.251359155e-01 2.147273169e-02 1.680055685e+00 2.013437363e-02 1.338358054e-03 0.000000000e+00 0.000000000e+00
3.446835132e-01 2.289740977e-02 1.616606501e+00 2.130531446e-02 1.592095309e-03 0.000000000e+00 0.000000000e+00
3.654063382e-01 2.216601652e-02 1.591785375e+00 2.057402645e-02 1.591990071e-03 0.000000000e+00 0.000000000e+00
3.873750465e-01 3.219843664e-02 2.083050138e+00 3.012427166e-02 2.074164973e-03 0.000000000e+00 0.000000000e+00
4.106645425e-01 3.351929538e-02 2.269944876e+00 3.126919303e-02 2.250102351e-03 0.000000000e+00 0.000000000e+00
4.353542335e-01 3.314083281e-02 2.186394867e+00 3.102664951e-02 2.114183297e-03 0.000000000e+00 0.000000000e+00
4.615283011e-01 3.382613262e-02 2.177634331e+00 3.162496478e-02 2.201167836e-03 0.000000000e+00 0.000000000e+00
4.892759879e-01 3.215163172e-02 2.058090958e+00 3.016767401e-02 1.983957708e-03 0.000000000e+00 0.000000000e+00
5.186919022e-01 3.103730577e-02 1.999440355e+00 2.899583182e-02 2.041473952e-03 0.000000000e+00 0.000000000e+00
5.498763397e-01 3.322950839e-02 1.955743215e+00 3.075393921e-02 2.475569173e-03 0.000000000e+00 0.000000000e+00
5.829356266e-01 3.193675548e-02 1.953316895e+00 2.975319641e-02 2.183559071e-03 0.000000000e+00 0.000000000e+00
6.179824811e-01 3.329367954e-02 1.912090369e+00 3.094323098e-02 2.350448567e-03 0.000000000e+00 0.000000000e+00
6.551363985e-01 3.060225946e-02 1.855153861e+00 2.820936849e-02 2.392890971e-03 0.000000000e+00 0.000000000e+00
6.945240582e-01 3.190850688e-02 1.853604459e+00 2.975385651e-02 2.154650373e-03 0.000000000e+00 0.000000000e+00
7.362797556e-01 3.313492881e-02 1.856302285e+00 3.075042264e-02 2.384506166e-03 0.000000000e+00 0.000000000e+00
7.805458603e-01 3.202857260e-02 1.842252775e+00 2.966827416e-02 2.360298439e-03 0.000000000e+00 0.000000000e+00
8.274733014e-01 3.160516917e-02 1.822666007e+00 2.925605238e-02 2.349116793e-03 0.000000000e+00 0.000000000e+00
8.772220817e-01 3.437089343e-02 1.878214288e+00 3.191235915e-02 2.458534280e-03 0.000000000e+00 0.000000000e+00
9.299618239e-01 3.457314049e-02 1.923902099e+00 3.188160993e-02 2.691530552e-03 0.000000000e+00 0.000000000e+00
9.858723487e-01 3.331062605e-02 1.914846565e+00 3.066145823e-02 2.649167825e-03 5.484150821e-133 1.688832653e-132
1.045144288e+00 3.297706776e-02 1.891915289e+00 3.018009092e-02 2.796976838e-03 1.775474619e-129 7.860126440e-130
1.107979733e+00 3.178771596e-02 1.815611376e+00 2.879481251e-02 2.992903455e-03 1.798903678e-117 1.177218982e-118
1.174592928e+00 3.146975733e-02 1.798670369e+00 2.838850998e-02 3.081247359e-03 1.326968547e-110 2.451066231e-110
1.245210996e+00 3.173481578e-02 1.780265186e+00 2.854909280e-02 3.185722974e-03 9.240708611e-104 1.431803867e-103
1.320074714e+00 3.378961506e-02 1.760480091e+00 3.033776592e-02 3.451849138e-03 1.212768228e-97 1.503145687e-98
1.399439338e+00 3.557423907e-02 1.759104809e+00 3.187590857e-02 3.698330502e-03 4.286193601e-92 2.468306543e-93
1.483575466e+00 3.572520944e-02 1.754976979e+00 3.195653789e-02 3.768671552e-03 4.323439508e-86 2.108886780e-86
1.572769969e+00 3.891842537e-02 1.784865124e+00 3.471260162e-02 4.205823751e-03 3.232616250e-81 1.742385857e-81
1.667326963e+00 4.086591310e-02 1.816527026e+00 3.648233633e-02 4.383576764e-03 1.446200586e-76 8.493464973e-77
1.767568847e+00 4.174655642e-02 1.714286658e+00 3.733721176e-02 4.409344657e-03 3.527003047e-71 4.756965921e-72
1.873837405e+00 4.173481967e-02 1.591594207e+00 3.760151656e-02 4.133303107e-03 5.979585690e-68 3.063044879e-69
1.986494968e+00 4.238382792e-02 1.476759698e+00 3.837241939e-02 4.011408536e-03 5.391816343e-63 1.309186493e-63
2.105925651e+00 4.300138763e-02 1.389618791e+00 3.908676245e-02 3.914625178e-03 1.326503212e-59 1.843626459e-61
2.232536664e+00 4.323180374e-02 1.270849700e+00 3.957677499e-02 3.655028752e-03 1.054004552e-55 1.739007908e-56
2.366759696e+00 4.078512498e-02 1.040118016e+00 3.760682593e-02 3.178299049e-03 1.232121750e-51 1.443110191e-52
2.509052394e+00 3.927451420e-02 9.175801285e-01 3.648486500e-02 2.789649201e-03 5.750738140e-49 8.455987956e-50
2.659899915e+00 4.083861588e-02 9.251287281e-01 3.814522497e-02 2.693390916e-03 8.538600687e-46 1.143105978e-46
2.819816587e+00 4.118528829e-02 8.662223459e-01 3.869687642e-02 2.488411870e-03 1.202109348e-42 8.127418186e-44
2.989347660e+00 3.913963587e-02 7.909052774e-01 3.702134528e-02 2.118290593e-03 2.610907367e-40 8.956144786e-42
3.169071162e+00 3.744944025e-02 7.206761048e-01 3.562939146e-02 1.820048787e-03 1.929868728e-38 1.270644295e-39
3.359599877e+00 3.766621732e-02 6.617021045e-01 3.603771534e-02 1.628501977e-03 1.922474936e-35 8.064168019e-37
3.561583429e+00 3.759152421e-02 6.108734557e-01 3.614535669e-02 1.446167519e-03 3.264402880e-33 1.707065684e-34
3.775710497e+00 3.478440130e-02 5.351072741e-01 3.362620526e-02 1.158196040e-03 2.464762007e-31 5.619606192e-33
4.002711165e+00 3.394735041e-02 4.923279351e-01 3.295077464e-02 9.965757682e-04 4.122019909e-29 8.859323646e-31
4.243359411e+00 3.273683641e-02 4.444467705e-01 3.188656166e-02 8.502747477e-04 7.052751818e-28 2.096638057e-29
4.498475745e+00 2.831151281e-02 3.583254878e-01 2.767570672e-02 6.358060876e-04 1.923787788e-25 4.723757544e-27
4.768930007e+00 2.666952793e-02 3.258563323e-01 2.615632080e-02 5.132071344e-04 3.404313976e-24 5.073293337e-26
5.055644335e+00 2.620705306e-02 2.979953433e-01 2.577676158e-02 4.302914818e-04 1.836665050e-22 3.009365401e-24
5.359596304e+00 2.520359614e-02 2.806203231e-01 2.485600873e-02 3.475874111e-04 3.097562526e-21 3.402504349e-23
5.681822265e+00 2.416885989e-02 2.555676883e-01 2.388315277e-02 2.857071214e-04 1.564678035e-19 2.703731767e-21
6.023420872e+00 2.229293104e-02 2.338162370e-01 2.207470730e-02 2.182237336e-04 3.815958340e-18 6.561134929e-20
6.385556837e+00 2.107670435e-02 2.137227147e-01 2.090432548e-02 1.723788683e-04 7.066419142e-17 6.400961506e-19
6.769464890e+00 1.927654538e-02 1.918018798e-01 1.914669165e-02 1.298537259e-04 3.659060554e-16 1.916138452e-18
7.176453999e+00 1.750540938e-02 1.738541910e-01 1.741084726e-02 9.456212433e-05 8.776279949e-15 5.801568749e-17
7.607911827e+00 1.468859549e-02 1.579944012e-01 1.463290987e-02 5.568562135e-05 4.581731208e-14 2.479509124e-16
8.065309466e+00 1.013958625e-02 1.392432794e-01 1.011782565e-02 2.176060206e-05 6.040900436e-13 1.256945094e-15
8.550206451e+00 6.156818345e-03 1.268749904e-01 6.149969461e-03 6.848882740e-06 1.902493692e-12 2.022906149e-15
9.064256079e+00 4.286353734e-03 1.142346755e-01 4.283338042e-03 3.015673957e-06 1.822145370e-11 1.601358153e-14
9.609211044e+00 3.216870360e-03 1.025670387e-01 3.215166078e-03 1.704182842e-06 9.938742472e-11 5.400934818e-14
1.018692942e+01 3.184485827e-03 9.210145232e-02 3.182847609e-03 1.637543440e-06 6.740098958e-10 4.151069960e-13
1.079938098e+01 3.489589165e-03 8.209550500e-02 3.487814267e-03 1.769926541e-06 4.969066785e-09 2.916225386e-12
1.144865393e+01 3.784529317e-03 7.275987792e-02 3.782613458e-03 1.889894691e-06 2.594957173e-08 1.500720428e-11
1.213696202e+01 3.940838743e-03 6.411556170e-02 3.938864656e-03 1.842019209e-06 1.319980703e-07 6.992404319e-11
1.286665210e+01 4.119685318e-03 5.742878851e-02 4.117411446e-03 1.821489050e-06 4.521321711e-07 2.505622180e-10
1.364021210e+01 4.301483582e-03 5.142332715e-02 4.298329204e-03 1.663691836e-06 1.490154741e-06 5.322802188e-10
1.446027954e+01 3.911917554e-03 4.549597512e-02 3.903720369e-03 1.176599915e-06 7.018635366e-06 1.950323035e-09
1.532965052e+01 3.261080522e-03 4.038153767e-02 3.236610079e-03 6.941586271e-07 2.376999005e-05 6.294869626e-09
1.625128922e+01 2.714110235e-03 3.592898103e-02 2.630573367e-03 3.724354726e-07 8.315221974e-05 1.221219779e-08
1.722833804e+01 2.274885752e-03 3.165750934e-02 2.138566595e-03 1.981994872e-07 1.361035317e-04 1.742642420e-08
1.826412832e+01 2.486963209e-03 2.825587900e-02 1.850321345e-03 1.098388565e-07 6.364887353e-04 4.328965865e-08
1.936219168e+01 3.471284963e-03 2.550155530e-02 1.656302512e-03 7.585463455e-08 1.814797488e-03 1.091080655e-07
2.052627204e+01 5.250535921e-03 2.267724463e-02 1.558171024e-03 5.100573408e-08 3.692118352e-03 1.955388523e-07
2.176033844e+01 1.234290332e-02 1.982410557e-02 1.528919901e-03 3.861478038e-08 1.081358681e-02 3.579905820e-07
2.306859853e+01 2.863064671e-02 1.786921662e-02 1.424391061e-03 2.445014289e-08 2.720563618e-02 5.950231198e-07
2.445551294e+01 6.642068294e-02 1.585425480e-02 1.289169723e-03 1.499244195e-08 6.513030047e-02 1.197750286e-06
2.592581045e+01 1.352403980e-01 1.416867194e-02 1.246012887e-03 9.316962328e-09 1.339926450e-01 1.730755771e-06
2.748450419e+01 2.852102205e-01 1.257225223e-02 1.155515589e-03 4.698561038e-09 2.840515411e-01 3.159080003e-06
2.913690863e+01 5.869141360e-01 1.125182699e-02 1.069203756e-03 1.978754287e-09 5.858430211e-01 1.909136523e-06
3.088865780e+01 1.169234202e+00 1.004955688e-02 9.772937932e-04 6.859902162e-11 1.168256872e+00 3.606460356e-08
3.274572442e+01 2.123999767e+00 8.940542623e-03 9.250026063e-04 0.000000000e+00 2.123074765e+00 0.000000000e+00
3.471444033e+01 3.721569523e+00 7.997805726e-03 8.464310405e-04 0.000000000e+00 3.720723092e+00 0.000000000e+00
3.680151802e+01 6.435302054e+00 7.049450022e-03 7.956248842e-04 0.000000000e+00 6.434506429e+00 0.000000000e+00
3.901407356e+01 1.013760700e+01 6.388629348e-03 7.252751905e-04 0.000000000e+00 1.013688172e+01 0.000000000e+00
