# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 2.539695837e-04 3.161373581e-01 2.336762573e-04 2.029332635e-05 0.000000000e+00 0.000000000e+00
9.541091806e-02 2.683150169e-03 2.139736517e+00 2.448820565e-03 2.343296040e-04 0.000000000e+00 0.000000000e+00
1.011471476e-01 3.792063841e-03 2.750460202e+00 3.419350784e-03 3.727130574e-04 0.000000000e+00 0.000000000e+00
1.072282468e-01 4.376914528e-03 3.622771025e+00 3.726210259e-03 6.507042691e-04 0.000000000e+00 0.000000000e+00
1.136749497e-01 4.939087905e-03 3.657777281e+00 4.342002063e-03 5.970858428e-04 0.000000000e+00 0.000000000e+00
1.205092367e-01 4.751654967e-03 3.014085791e+00 3.943025116e-03 8.086298515e-04 0.000000000e+00 0.000000000e+00
1.277544101e-01 4.992394501e-03 4.003885505e+00 4.328681859e-03 6.637126419e-04 0.000000000e+00 0.000000000e+00
1.354351729e-01 5.191761747e-03 4.121564745e+00 4.347861987e-03 8.438997597e-04 0.000000000e+00 0.000000000e+00
1.435777131e-01 5.781420824e-03 3.840273494e+00 4.976599884e-03 8.048209401e-04 0.000000000e+00 0.000000000e+00
1.522097936e-01 5.265229595e-03 3.560765461e+00 4.545577820e-03 7.196517752e-04 0.000000000e+00 0.000000000e+00
1.613608460e-01 5.752900701e-03 3.676098042e+00 4.859229724e-03 8.936709768e-04 0.000000000e+00 0.000000000e+00
1.710620718e-01 5.493295582e-03 3.790673087e+00 4.497545936e-03 9.957496453e-04 0.000000000e+00 0.000000000e+00
1.813465479e-01 4.587555636e-03 3.737524846e+00 3.786738011e-03 8.008176251e-04 0.000000000e+00 0.000000000e+00
1.922493402e-01 4.238190499e-03 3.600199492e+00 3.769374903e-03 4.688155959e-04 0.000000000e+00 0.000000000e+00
2.038076228e-01 3.866374461e-03 3.657081734e+00 3.501043390e-03 3.653310710e-04 0.000000000e+00 0.000000000e+00
2.160608044e-01 3.520814386e-03 3.685815371e+00 3.070695707e-03 4.501186794e-04 0.000000000e+00 0.000000000e+00
2.290506634e-01 3.294573400e-03 3.455074577e+00 2.882173354e-03 4.124000458e-04 0.000000000e+00 0.000000000e+00
2.428214897e-01 3.962298851e-03 3.275336526e+00 3.295956765e-03 6.663420861e-04 0.000000000e+00 0.000000000e+00
2.574202362e-01 3.613199575e-03 3.272467180e+00 2.936416877e-03 6.767826983e-04 0.000000000e+00 0.000000000e+00
2.728966785e-01 4.240682297e-03 3.226189938e+00 3.536467975e-03 7.042143218e-04 0.000000000e+00 0.000000000e+00
2.893035848e-01 4.269186925e-03 3.181723542e+00 3.433625066e-03 8.355618589e-04 0.000000000e+00 0.000000000e+00
3.066968958e-01 4.162934156e-03 3.137133607e+00 3.477280765e-03 6.856533915e-04 0.000000000e+00 0.000000000e+00
3.251359155e-01 3.750920135e-03 3.033042887e+00 3.019941126e-03 7.309790090e-04 0.000000000e+00 0.000000000e+00
3.446835132e-01 4.227675366e-03 2.929015733e+00 3.235770887e-03 9.919044797e-04 0.000000000e+00 0.000000000e+00
3.654063382e-01 3.839818356e-03 2.927659220e+00 3.108911883e-03 7.309064730e-04 0.000000000e+00 0.000000000e+00
3.873750465e-01 5.601311722e-03 3.950069939e+00 4.376001385e-03 1.225310337e-03 0.000000000e+00 0.000000000e+00
4.106645425e-01 7.077781277e-03 4.447559246e+00 5.725821294e-03 1.351959984e-03 0.000000000e+00 0.000000000e+00
4.353542335e-01 6.196222525e-03 4.275165659e+00 4.955614311e-03 1.240608214e-03 0.000000000e+00 0.000000000e+00
4.615283011e-01 6.630069000e-03 4.350819868e+00 5.313895114e-03 1.316173885e-03 0.000000000e+00 0.000000000e+00
4.892759879e-01 6.416999052e-03 4.087791436e+00 5.101142472e-03 1.315856579e-03 0.000000000e+00 0.000000000e+00
5.186919022e-01 6.858603943e-03 4.029191225e+00 5.516917131e-03 1.341686813e-03 0.000000000e+00 0.000000000e+00
5.498763397e-01 7.062421796e-03 4.007974185e+00 5.556806912e-03 1.505614883e-03 0.000000000e+00 0.000000000e+00
5.829356266e-01 7.298129804e-03 3.952258102e+00 5.921868934e-03 1.376260870e-03 0.000000000e+00 0.000000000e+00
6.179824811e-01 8.225539263e-03 3.905124372e+00 6.548259351e-03 1.677279913e-03 0.000000000e+00 0.000000000e+00
6.551363985e-01 7.602476611e-03 3.848184562e+00 6.036214989e-03 1.566261623e-03 0.000000000e+00 0.000000000e+00
6.945240582e-01 8.828956610e-03 3.850720440e+00 6.932328855e-03 1.896627756e-03 0.000000000e+00 0.000000000e+00
7.362797556e-01 9.432293650e-03 3.919089821e+00 7.501440285e-03 1.930853365e-03 0.000000000e+00 0.000000000e+00
7.805458603e-01 1.004132127e-02 3.898161107e+00 8.106783964e-03 1.934537310e-03 0.000000000e+00 0.000000000e+00
8.274733014e-01 1.126982089e-02 3.985453676e+00 9.049981772e-03 2.219839119e-03 0.000000000e+00 0.000000000e+00
8.772220817e-01 1.051335774e-02 4.122920415e+00 8.307037165e-03 2.206320574e-03 0.000000000e+00 0.000000000e+00
9.299618239e-01 1.318773178e-02 4.237187463e+00 1.056924677e-02 2.618485011e-03 0.000000000e+00 0.000000000e+00
9.858723487e-01 1.357041519e-02 4.295828250e+00 1.087716446e-02 2.693250731e-03 6.288698138e-169 3.180710705e-169
1.045144288e+00 1.475162286e-02 4.295931170e+00 1.207215204e-02 2.679470824e-03 1.163700855e-158 1.370612036e-157
